px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
182.585	35.7566	2.98955	0.194672	-0.108395	182.599	35.753	182.292	35.8114	2.42515	0.611338	2.3396e-314
182.479	35.7291	2.63788	0.203864	-0.104119	182.047	36.2626	182.292	35.8114	2.42515	0.611338	2.31212
184.739	36.5075	2.58314	0.35692	0.0896996	184.732	36.5155	184.73	36.37	2.36226	0.487877	2.3396e-314
184.72	36.5106	2.3953	0.378817	0.127869	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.362841
186.937	36.9515	2.40823	0.141851	-0.146973	186.946	36.9404	187.103	36.804	2.29017	0.365145	2.3396e-314
186.998	36.9614	2.47295	0.129276	-0.159302	187.296	36.9375	187.103	36.804	2.29017	0.365145	1.11368
189.438	37.3953	2.73425	0.186013	0.00667951	189.465	37.4052	189.401	37.1147	2.20928	0.245623	2.3396e-314
189.439	37.4004	2.45026	0.198184	0.024555	189.738	36.951	189.401	37.1147	2.20928	0.245623	1.38136
191.729	37.5686	2.50496	0.0282462	-0.119784	191.735	37.5631	191.615	37.3064	2.12037	0.131591	2.3396e-314
191.685	37.5527	2.2945	0.00978876	-0.152302	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.481814
193.501	37.2824	2.00469	-0.247722	-0.239104	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	2.3396e-314
193.528	37.2927	2.12447	-0.221982	-0.199427	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.177795
195.938	37.3829	2.48136	0.23663	0.31022	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	2.3396e-314
195.826	37.3899	2.03564	0.224677	0.316678	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	2.72928
197.714	37.7367	2.09564	0.256609	0.107769	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	2.3396e-314
197.667	37.7271	1.97142	0.264459	0.114336	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.46365
199.329	37.3274	1.52355	-0.319034	-0.381373	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	2.3396e-314
199.35	37.3498	1.69701	-0.276148	-0.313659	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.335776
201.47	36.9955	2.33784	-0.0382526	0.126728	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	2.3396e-314
201.342	36.9829	1.87656	-0.141574	0.0166702	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	3.2302
202.966	36.4656	1.88054	-0.343832	-0.136986	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	2.3396e-314
202.915	36.4467	1.68609	-0.405715	-0.227896	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.598873
204.025	36.1662	1.17649	-0.334206	-0.0369219	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	2.3396e-314
204.03	36.1549	1.44622	-0.293233	0.0305442	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	1.33
